@timestamp	auditd.log.AUID	process.executable
Oct 22, 2025 @ 21:39:04.173	victim	/usr/bin/who
Oct 22, 2025 @ 21:39:04.173	victim	/usr/bin/who
Oct 22, 2025 @ 21:39:04.173	victim	/usr/bin/who
Oct 22, 2025 @ 21:39:04.173	victim	/usr/bin/who
Oct 22, 2025 @ 20:58:21.121	victim	/usr/bin/last
Oct 22, 2025 @ 20:58:21.121	victim	/usr/bin/last
Oct 22, 2025 @ 20:58:21.121	victim	/usr/bin/last
Oct 22, 2025 @ 20:58:21.121	victim	/usr/bin/last
Oct 22, 2025 @ 20:58:18.237	victim	/usr/bin/who
Oct 22, 2025 @ 20:58:18.237	victim	/usr/bin/who
Oct 22, 2025 @ 20:58:18.237	victim	/usr/bin/who
Oct 22, 2025 @ 20:58:18.237	victim	/usr/bin/who
Oct 22, 2025 @ 20:58:12.436	victim	/usr/bin/w
Oct 22, 2025 @ 20:58:12.436	victim	/usr/bin/w
Oct 22, 2025 @ 20:58:12.436	victim	/usr/bin/w
Oct 22, 2025 @ 20:58:12.436	victim	/usr/bin/w
Oct 22, 2025 @ 19:17:38.301	victim	/usr/bin/last
Oct 22, 2025 @ 19:17:38.301	victim	/usr/bin/last
Oct 22, 2025 @ 19:17:38.301	victim	/usr/bin/last
Oct 22, 2025 @ 19:17:38.301	victim	/usr/bin/last
Oct 22, 2025 @ 19:17:30.054	victim	/usr/bin/w
Oct 22, 2025 @ 19:17:30.054	victim	/usr/bin/w
Oct 22, 2025 @ 19:17:30.054	victim	/usr/bin/w
Oct 22, 2025 @ 19:17:30.054	victim	/usr/bin/w
Oct 22, 2025 @ 19:16:55.713	victim	/usr/bin/who
Oct 22, 2025 @ 19:16:55.713	victim	/usr/bin/who
Oct 22, 2025 @ 19:16:55.713	victim	/usr/bin/who
Oct 22, 2025 @ 19:16:55.713	victim	/usr/bin/who
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/tar
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/tar
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/tar
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/gzip
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/tar
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/tar
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/tar
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/gzip
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/tar
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/tar
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/tar
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/gzip
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/tar
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/tar
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/tar
Oct 22, 2025 @ 18:53:34.403	victim	/usr/bin/gzip
Oct 22, 2025 @ 18:53:34.349	victim	/usr/bin/tar
Oct 22, 2025 @ 18:53:34.349	victim	/usr/bin/tar
Oct 22, 2025 @ 18:53:34.349	victim	/usr/bin/tar
Oct 22, 2025 @ 18:53:34.349	victim	/usr/bin/tar
Oct 22, 2025 @ 13:55:46.854	victim	/usr/bin/id
Oct 22, 2025 @ 13:55:46.854	victim	/usr/bin/id
Oct 22, 2025 @ 13:55:46.854	victim	/usr/bin/id
Oct 22, 2025 @ 13:55:46.854	victim	/usr/bin/id
Oct 22, 2025 @ 13:55:46.813	victim	/usr/bin/id
Oct 22, 2025 @ 13:55:46.813	victim	/usr/bin/id
Oct 22, 2025 @ 13:55:46.813	victim	/usr/bin/id
Oct 22, 2025 @ 13:55:46.813	victim	/usr/bin/id
Oct 22, 2025 @ 13:55:46.707	victim	/usr/bin/who
Oct 22, 2025 @ 13:55:46.707	victim	/usr/bin/who
Oct 22, 2025 @ 13:55:46.707	victim	/usr/bin/who
Oct 22, 2025 @ 13:55:46.707	victim	/usr/bin/who
Oct 22, 2025 @ 13:55:46.394	victim	/usr/bin/uname
Oct 22, 2025 @ 13:55:46.394	victim	/usr/bin/uname
Oct 22, 2025 @ 13:55:46.394	victim	/usr/bin/uname
Oct 22, 2025 @ 13:55:46.394	victim	/usr/bin/uname
Oct 22, 2025 @ 13:55:46.390	victim	/usr/bin/uname
Oct 22, 2025 @ 13:55:46.390	victim	/usr/bin/uname
Oct 22, 2025 @ 13:55:46.390	victim	/usr/bin/uname
Oct 22, 2025 @ 13:55:46.390	victim	/usr/bin/uname
Oct 22, 2025 @ 13:55:46.387	victim	/usr/bin/uname
Oct 22, 2025 @ 13:55:46.387	victim	/usr/bin/uname
Oct 22, 2025 @ 13:55:46.387	victim	/usr/bin/uname
Oct 22, 2025 @ 13:55:46.387	victim	/usr/bin/uname
Oct 22, 2025 @ 13:22:54.150	victim	/usr/bin/last
Oct 22, 2025 @ 13:22:54.150	victim	/usr/bin/last
Oct 22, 2025 @ 13:22:54.150	victim	/usr/bin/last
Oct 22, 2025 @ 13:22:54.150	victim	/usr/bin/last
Oct 22, 2025 @ 13:22:43.906	victim	/usr/bin/w
Oct 22, 2025 @ 13:22:43.906	victim	/usr/bin/w
Oct 22, 2025 @ 13:22:43.906	victim	/usr/bin/w
Oct 22, 2025 @ 13:22:43.906	victim	/usr/bin/w
Oct 22, 2025 @ 13:22:28.638	victim	/usr/bin/who
Oct 22, 2025 @ 13:22:28.638	victim	/usr/bin/who
Oct 22, 2025 @ 13:22:28.638	victim	/usr/bin/who
Oct 22, 2025 @ 13:22:28.638	victim	/usr/bin/who
Oct 22, 2025 @ 13:11:41.759	victim	/usr/bin/uname
Oct 22, 2025 @ 13:11:41.759	victim	/usr/bin/uname
Oct 22, 2025 @ 13:11:41.759	victim	/usr/bin/uname
Oct 22, 2025 @ 13:11:41.759	victim	/usr/bin/uname
Oct 22, 2025 @ 13:11:32.266	victim	/usr/bin/id
Oct 22, 2025 @ 13:11:32.266	victim	/usr/bin/id
Oct 22, 2025 @ 13:11:32.266	victim	/usr/bin/id
Oct 22, 2025 @ 13:11:32.266	victim	/usr/bin/id
Oct 22, 2025 @ 13:11:27.846	victim	/usr/bin/whoami
Oct 22, 2025 @ 13:11:27.846	victim	/usr/bin/whoami
Oct 22, 2025 @ 13:11:27.846	victim	/usr/bin/whoami
Oct 22, 2025 @ 13:11:27.846	victim	/usr/bin/whoami
Oct 22, 2025 @ 13:10:14.588	victim	/usr/bin/id
Oct 22, 2025 @ 13:10:14.588	victim	/usr/bin/id
Oct 22, 2025 @ 13:10:14.588	victim	/usr/bin/id
Oct 22, 2025 @ 13:10:14.588	victim	/usr/bin/id
Oct 22, 2025 @ 13:10:14.526	victim	/usr/bin/id
Oct 22, 2025 @ 13:10:14.526	victim	/usr/bin/id
Oct 22, 2025 @ 13:10:14.526	victim	/usr/bin/id
Oct 22, 2025 @ 13:10:14.526	victim	/usr/bin/id
Oct 22, 2025 @ 13:10:14.400	victim	/usr/bin/who
Oct 22, 2025 @ 13:10:14.400	victim	/usr/bin/who
Oct 22, 2025 @ 13:10:14.400	victim	/usr/bin/who
Oct 22, 2025 @ 13:10:14.400	victim	/usr/bin/who
Oct 22, 2025 @ 13:10:13.853	victim	/usr/bin/uname
Oct 22, 2025 @ 13:10:13.853	victim	/usr/bin/uname
Oct 22, 2025 @ 13:10:13.853	victim	/usr/bin/uname
Oct 22, 2025 @ 13:10:13.853	victim	/usr/bin/uname
Oct 22, 2025 @ 13:10:13.847	victim	/usr/bin/uname
Oct 22, 2025 @ 13:10:13.847	victim	/usr/bin/uname
Oct 22, 2025 @ 13:10:13.847	victim	/usr/bin/uname
Oct 22, 2025 @ 13:10:13.847	victim	/usr/bin/uname
Oct 22, 2025 @ 13:10:13.843	victim	/usr/bin/uname
Oct 22, 2025 @ 13:10:13.843	victim	/usr/bin/uname
Oct 22, 2025 @ 13:10:13.843	victim	/usr/bin/uname
Oct 22, 2025 @ 13:10:13.843	victim	/usr/bin/uname
Oct 22, 2025 @ 13:08:41.508	victim	/usr/bin/id
Oct 22, 2025 @ 13:08:41.508	victim	/usr/bin/id
Oct 22, 2025 @ 13:08:41.508	victim	/usr/bin/id
Oct 22, 2025 @ 13:08:41.508	victim	/usr/bin/id
Oct 22, 2025 @ 13:08:41.423	victim	/usr/bin/id
Oct 22, 2025 @ 13:08:41.423	victim	/usr/bin/id
Oct 22, 2025 @ 13:08:41.423	victim	/usr/bin/id
Oct 22, 2025 @ 13:08:41.423	victim	/usr/bin/id
